                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3837,                 2.6522,                 1.1984,                0.51277,                0.69884,                0.58016,                 0.3948,                 1.1014,                 1.3742,                 1.1679,             0.00015719,             0.00015719,             0.00015719
                      2,                  1.282,                 1.2776,                 1.1753,                0.86213,                0.80202,                0.89024,                0.62499,                0.96227,                0.98538,                 1.0797,             0.00032542,             0.00032542,             0.00032542
                      3,                 1.2564,                0.87025,                 1.1583,                0.94982,                0.94198,                0.96492,                0.67195,                 1.0444,                 0.7755,                 1.1261,             0.00049025,             0.00049025,             0.00049025
                      4,                 1.3009,                0.80088,                 1.1147,                0.94546,                0.91566,                0.96493,                0.65517,                 1.0576,                0.67467,                  1.118,             0.00065168,             0.00065168,             0.00065168
                      5,                 1.3265,                0.86693,                 1.1476,                0.89848,                0.80353,                 0.8976,                0.59488,                 1.1003,                0.79116,                 1.1725,             0.00080972,             0.00080972,             0.00080972
                      6,                 1.2325,                0.79223,                 1.1382,                0.91879,                0.92933,                0.96037,                0.67514,                0.99169,                0.61867,                 1.0896,             0.00096437,             0.00096437,             0.00096437
                      7,                 1.2644,                0.76497,                 1.1072,                0.92821,                0.93201,                0.95675,                0.64163,                 1.1247,                0.69492,                 1.1848,              0.0011156,              0.0011156,              0.0011156
                      8,                 1.2302,                0.79104,                 1.1251,                0.96394,                 0.9219,                0.95745,                0.64925,                 1.1227,                0.69939,                 1.1754,              0.0012635,              0.0012635,              0.0012635
                      9,                 1.2826,                0.70212,                 1.0772,                0.94627,                 0.9132,                 0.9566,                0.65622,                 1.0879,                0.70889,                 1.1576,              0.0013158,              0.0013158,              0.0013158
                     10,                  1.233,                0.69829,                 1.1142,                0.96284,                0.93999,                0.94981,                0.65402,                 1.0782,                  0.685,                 1.1414,              0.0013017,              0.0013017,              0.0013017
                     11,                 1.1616,                0.64502,                  1.084,                0.92099,                0.94402,                0.94803,                0.64965,                 1.0978,                 0.7811,                  1.181,              0.0012875,              0.0012875,              0.0012875
                     12,                 1.1957,                0.64869,                 1.1091,                 0.9503,                0.92767,                0.94622,                  0.657,                 1.0969,                0.66006,                 1.1615,              0.0012734,              0.0012734,              0.0012734
